"Rank","College or University","City","State","Acres","Enrollment of Undergraduate Certificate/Degree-Seeking Students (2022-2023)"
"1","Berry College","Mount Berry","GA","27,000","2232"
"2","SUNY College of Environmental Science and Forestry","Syracuse","NY","25,000","1604"
"3","United States Air Force Academy","USAF Academy","CO","18500","4085"
"4","United States Military Academy","West  Point","NY","16,000","4328"
"5","Paul Smiths College of Arts and Science","Paul Smiths","NY","14,200","668"
"6","The University of the South","Sewanee","TN","13,000","1599"
"7","California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","9,178","20976"
"9","Berea College","Berea","KY","9,000","1412"
"10","Duke University","Durham","NC","8693","6570"
"11","Stanford University","Stanford","CA","8,180","7761"
"12","Palo Alto University","Palo Alto","CA","8180","32"
"13","Liberty University","Lynchburg","VA","7,000","48408"
"14","Utah State University","Logan","UT","6,896","20573"
"15","University of Illinois Urbana-Champaign","Champaign","IL","6,370","34031"
"16","New Mexico State University-Grants","Grants","NM","6250","361"
"17","University of Nebraska-Lincoln","Lincoln","NE","6000","19097"
"18","University of California-Davis","Davis","CA","5,300","31512"
"19","Texas A & M University-College Station","College Station","TX","5,200","56792"
"20","Michigan State University","East Lansing","MI","5,200","39021"
"21","Tuskegee University","Tuskegee","AL","5000","2100"
"22","Colorado State University Global","Aurora","CO","4773","6333"
"23","Mississippi State University","Mississippi State","MS","4,200","18154"
"24","University of Connecticut","Storrs","CT","4,052","18768"
"25","Eastern Oklahoma State College","Wilburton","OK","3,900","939"
"26","University of Oklahoma-Norman Campus","Norman","OK","3,500","20842"
"27","University of Mississippi","University","MS","3,497","17157"
"28","Saint Johns University","Collegeville","MN","3,300","1501"
"29","College of Saint Benedict","Saint Joseph","MN","3,300","1428"
"30","Southern Illinois University-Carbondale","Carbondale","IL","3,290","7922"
"31","University of Michigan-Ann Arbor","Ann Arbor","MI","3,070","32448"
"32","Sweet Briar College","Sweet Briar","VA","2,840","451"
"33","West Virginia University","Morgantown","WV","2737.2","18370"
"34","Southern Illinois University-Edwardsville","Edwardsville","IL","2,660","9283"
"35","Rutgers University-New Brunswick","New Brunswick","NJ","2,600","36090"
"36","Virginia Polytechnic Institute and State University","Blacksburg","VA","2,600","30339"
"37","Principia College","Elsah","IL","2600","316"
