University,Safety,Facilities,Social,Average Sentiment
Princeton University,4.5,4.4,4.1,0.5342250000000001
Massachusetts Institute of Technology,4.5,3.7,3.7,0.5852127659574469
Harvard University,3.2,3.2,2.9,0.24950999999999993
Stanford University,4.5,4.5,4.0,0.5817590163934426
Yale University,3.6,4.1,4.0,0.5969999999999999
California Institute of Technology,4.2,4.3,3.6,0.45799999999999996
Duke University,4.4,4.8,4.4,0.7293
Johns Hopkins University,3.2,4.3,3.3,0.492444776119403
Northwestern University,4.3,4.3,3.7,0.6993600000000002
University of Pennsylvania,3.5,4.2,4.2,0.5218490909090909
Cornell University,4.4,4.6,4.0,0.5530952380952381
University of Chicago,2.9,4.1,3.0,0.38242586206896556
Brown University,4.5,4.4,4.5,0.6942651162790698
Columbia University,3.5,3.9,3.3,0.3568671875
Dartmouth College,4.2,4.5,4.1,0.6516
University of California-Los Angeles,4.0,4.4,4.1,0.4425619047619049
University of California-Berkeley,2.7,4.1,4.0,0.6398781250000001
Rice University,4.3,4.5,3.9,0.5103433333333334
University of Notre Dame,4.4,4.6,4.1,0.6450897058823529
Vanderbilt University,4.5,4.6,4.5,0.6475358208955223
Carnegie Mellon University,4.3,4.0,3.2,0.32438125000000007
University of Michigan-Ann Arbor,4.4,4.5,4.4,0.6285484848484849
Washington University in St. Louis,3.9,4.8,4.1,0.5300597014925372
Emory University,4.7,4.6,3.7,0.5659656716417908
Georgetown University,4.2,3.9,4.1,0.5924030769230768
University of Virginia,4.0,4.5,4.4,0.6100323529411762
University of North Carolina-Chapel Hill,4.0,4.3,4.4,0.545125
University of Southern California,3.5,4.6,4.6,0.6342363636363637
University of California-San Diego,4.2,3.8,3.0,0.5403812500000001
New York University,3.5,3.9,3.7,0.5221032258064516
University of Florida,4.2,4.4,4.4,0.5448671875
University of Texas-Austin,3.4,4.3,4.4,0.6285621212121213
Georgia Institute of Technology,3.9,4.2,3.6,0.6086639344262295
University of California-Davis,4.3,4.3,3.8,0.48595671641791033
University of California-Irvine,4.7,4.4,3.6,0.596998484848485
University of Illinois-Urbana-Champaign,3.7,4.4,4.3,0.6747787878787878
Boston College,4.7,4.3,3.8,0.59699375
Tufts University,4.3,4.2,3.9,0.6571814285714286
University of California-Santa Barbara,3.7,4.4,4.5,0.540311111111111
University of Wisconsin-Madison,4.3,4.6,4.8,0.6504461538461537
Boston University,4.2,3.7,3.7,0.37690144927536223
Ohio State University-Columbus,3.4,4.3,4.3,0.6014124999999997
Rutgers University-New Brunswick,3.2,3.8,4.1,0.4590057971014493
University of Maryland-College Park,3.1,3.9,3.9,0.50615
University of Rochester,3.5,4.0,3.3,0.40876060606060605
Lehigh University,3.6,4.3,4.2,0.43963593749999996
Purdue University,4.5,4.2,3.9,0.45318955223880597
University of Georgia,4.0,4.6,4.5,0.6646117647058821
University of Washington,3.0,4.3,3.5,0.5451014705882351
Wake Forest University,4.5,4.6,3.9,0.6478366666666667
