Safety,Facilities,Social,Average Sentiment
4.5,4.4,4.1,0.2505838215351105
4.5,3.7,3.7,0.4689431709902627
3.2,3.2,2.9,0.035684720958982195
4.5,4.5,4.0,0.5958714382989067
3.6,4.1,4.0,0.4278255019869123
4.2,4.3,3.6,0.13736874461174012
4.4,4.8,4.4,0.7966323563030788
3.2,4.3,3.3,0.4170950566019331
4.3,4.3,3.7,0.26760621496609277
3.5,4.2,4.2,0.334002514396395
4.4,4.6,4.0,0.5119369413171496
2.9,4.1,3.0,0.28056473646845137
4.5,4.4,4.5,0.5856442494051797
3.5,3.9,3.3,0.2852895847388676
4.2,4.5,4.1,0.2859179173197065
4.0,4.4,4.1,0.43588836107935225
2.7,4.1,4.0,0.7347996149744306
4.3,4.5,3.9,0.20252358061926706
4.4,4.6,4.1,0.7081417756421226
4.5,4.6,4.5,0.6279790214129857
4.3,4.0,3.2,0.35783636484827314
4.4,4.5,4.4,0.7864746877125331
3.9,4.8,4.1,0.499469404561179
4.7,4.6,3.7,0.594566868032728
4.2,3.9,4.1,0.5421946951321193
4.0,4.5,4.4,0.5679068829332079
4.0,4.3,4.4,0.32330462847437175
3.5,4.6,4.6,0.6822611033916474
4.2,3.8,3.0,0.36847644448280337
3.5,3.9,3.7,0.3717404212270464
4.2,4.4,4.4,0.7079806004251753
3.4,4.3,4.4,0.6446758278778622
3.9,4.2,3.6,0.49413071700504846
4.3,4.3,3.8,0.4558610703263964
4.7,4.4,3.6,0.49723578350884573
3.7,4.4,4.3,0.631340218441827
4.7,4.3,3.8,0.5425226739474706
4.3,4.2,3.9,0.6114640286990575
3.7,4.4,4.5,0.4452852972916194
4.3,4.6,4.8,0.7333147653511592
4.2,3.7,3.7,0.3245605613504137
3.4,4.3,4.3,0.6093701677662986
3.2,3.8,4.1,0.31551178182874406
3.1,3.9,3.9,0.2618329746382577
3.5,4.0,3.3,0.2339513233729771
3.6,4.3,4.2,0.4458291462489537
4.5,4.2,3.9,0.5087139844894409
4.0,4.6,4.5,0.764317102091653
3.0,4.3,3.5,0.3529634978090014
4.5,4.6,3.9,0.5395059858049666
