University Name,In State Tuition,Out of State Tuition,Admission Rate,Number of Students,Graduation Rate 4-years,Earnings After 10 Years,Retention Rate,Diversity Score,Public or Private,Research Score,ar score,er score,isr score,fsr score,ifr score,Acres,Safety,Facilities,Social,Average Sentiment
Massachusetts Institute of Technology,57986,57986,0.0396,4638,0.9557,143372,0.9898,0.6991909,Private Nonprofit,54.9,100.0,100.0,88.2,100.0,100.0,168.0,4.5,3.7,3.7,0.5852127659574469
Stanford University,58416,58416,0.0368,7761,0.9534,124080,0.9831,0.69497164,Private Nonprofit,61.5,100.0,100.0,51.2,100.0,99.9,8180.0,4.5,4.5,4.0,0.5817590163934426
"University of California, Los Angeles",6805,18685,0.8694,22690,0.5166,59211,0.7348,0.3350574,Public,51.5,100.0,99.8,24.8,36.6,43.4,419.0,4.0,4.4,4.1,0.4425619047619049
Princeton University,57410,57410,0.057,5527,0.9744,110066,0.9705,0.70147944,Private Nonprofit,39.3,99.8,97.5,57.5,64.5,16.7,600.0,4.5,4.4,4.1,0.5342250000000001
"University of Michigan, Ann Arbor",16736,55334,0.1769,32448,0.934,83648,0.9721,0.6327967800000001,Public,53.6,98.3,89.9,27.6,82.2,67.0,3070.0,4.4,4.5,4.4,0.6285484848484849
Cornell University,63200,63200,0.079,16071,0.88,104043,0.96,0.6618279199999999,Private Nonprofit,49.1,98.1,90.5,64.0,52.9,68.7,2300.0,4.4,4.6,4.0,0.5530952380952381
California Institute of Technology,19190,19190,0.027,540,0.7828,53598,0.9474,0.4832799599999999,Proprietary,39.9,96.1,93.7,81.0,100.0,100.0,124.0,4.2,4.3,3.6,0.4579999999999999
"University of California, San Diego",14906,44978,0.2371,33092,0.8851,84943,0.9339,0.6399033399999999,Public,50.1,89.1,50.4,51.3,49.6,68.1,1200.0,4.2,3.8,3.0,0.5403812500000001
Duke University,62688,62688,0.0635,6570,0.9625,97800,0.9685,0.70044382,Private Nonprofit,47.4,85.7,69.3,52.2,100.0,16.8,8693.0,4.4,4.8,4.4,0.7293
Northwestern University,8672,19460,0.9793,6243,0.4528,47021,0.6115,0.60080022,Public,47.1,83.8,60.2,44.2,98.9,48.2,242.8,4.3,4.3,3.7,0.6993600000000002
Carnegie Mellon University,61344,61344,0.113,7005,0.9214,114862,0.973,0.6736696600000001,Private Nonprofit,33.7,71.2,75.3,98.2,49.1,46.6,150.0,4.3,4.0,3.2,0.32438125
Georgia Institute of Technology,11764,32876,0.1713,17379,0.9225,102772,0.9786,0.70021324,Public,38.0,67.4,85.1,65.4,15.3,38.8,400.0,3.9,4.2,3.6,0.6086639344262295
Purdue University,8985,21573,0.8066,5482,0.3701,45872,0.6272,0.45519802,Public,36.4,63.9,81.2,45.8,10.3,41.5,2500.0,4.5,4.2,3.9,0.4531895522388059
Boston University,62360,62360,0.1437,17668,0.8916,83238,0.9397,0.6717056599999999,Private Nonprofit,40.3,61.7,68.3,87.5,32.7,21.6,140.0,4.2,3.7,3.7,0.3769014492753622
University of Florida,5656,18786,0.2504,32691,0.8402,61675,0.9393,0.5599073999999999,Public,42.2,48.0,58.7,10.8,71.3,18.8,2000.0,4.2,4.4,4.4,0.5448671875
