University Name,In State Tuition,Out of State Tuition,Admission Rate,Number of Students,Graduation Rate 4-years,Earnings After 10 Years,Retention Rate,Diversity Score,Public or Private,Research Score,ar score,er score,isr score,fsr score,ifr score,Acres,Safety,Facilities,Social,Average Sentiment,University ID
Princeton University,57410,57410,0.057,5527,0.9744,110066,0.9705,0.70147944,0,39.3,99.8,97.5,57.5,64.5,16.7,600.0,4.5,4.4,4.1,0.2505838215351105,1
Massachusetts Institute of Technology,57986,57986,0.0396,4638,0.9557,143372,0.9898,0.6991909,0,54.9,100.0,100.0,88.2,100.0,100.0,168.0,4.5,3.7,3.7,0.4689431709902627,2
Harvard University,57261,57261,0.0324,7973,0.9726,101817,0.9769,0.70317398,0,97.6,100.0,100.0,66.8,98.3,84.6,209.0,3.2,3.2,2.9,0.0356847209589821,3
Stanford University,58416,58416,0.0368,7761,0.9534,124080,0.9831,0.69497164,0,61.5,100.0,100.0,51.2,100.0,99.9,8180.0,4.5,4.5,4.0,0.5958714382989067,4
Yale University,62250,62250,0.0457,6639,0.9736,100533,0.981,0.70271536,0,50.2,99.9,99.9,78.8,100.0,89.8,1108.0,3.6,4.1,4.0,0.4278255019869123,5
California Institute of Technology,19190,19190,0.027,540,0.7828,53598,0.9474,0.4832799599999999,0,39.9,96.1,93.7,81.0,100.0,100.0,124.0,4.2,4.3,3.6,0.1373687446117401,6
Duke University,62688,62688,0.0635,6570,0.9625,97800,0.9685,0.70044382,0,47.4,85.7,69.3,52.2,100.0,16.8,8693.0,4.4,4.8,4.4,0.7966323563030788,7
Johns Hopkins University,60480,60480,0.0725,5643,0.9433,87555,0.9695,0.68889772,0,56.7,87.3,59.7,91.4,100.0,64.4,140.0,3.2,4.3,3.3,0.4170950566019331,8
Northwestern University,8672,19460,0.9793,6243,0.4528,47021,0.6115,0.60080022,1,47.1,83.8,60.2,44.2,98.9,48.2,242.8,4.3,4.3,3.7,0.2676062149660927,9
University of Pennsylvania,63452,63452,0.065,10572,0.9615,111371,0.9837,0.70973874,0,53.2,96.4,89.1,70.3,99.9,96.0,299.0,3.5,4.2,4.2,0.334002514396395,10
Cornell University,63200,63200,0.079,16071,0.88,104043,0.96,0.6618279199999999,0,49.1,98.1,90.5,64.0,52.9,68.7,2300.0,4.4,4.6,4.0,0.5119369413171496,11
University of Chicago,14046,28654,0.7869,21567,0.6195,68740,0.7832,0.66501386,1,45.0,99.1,95.4,84.4,92.5,81.2,217.0,2.9,4.1,3.0,0.2805647364684513,12
Brown University,29720,29720,0.5664,1354,0.7078,53907,0.8445,0.43163436,0,36.6,58.3,42.4,52.0,77.8,84.5,146.0,4.5,4.4,4.5,0.5856442494051797,13
Columbia University,66139,66139,0.0395,8902,0.9528,102491,0.9792,0.6798758200000001,0,52.2,99.6,98.3,96.8,100.0,56.1,36.0,3.5,3.9,3.3,0.2852895847388676,14
